Chapter,Topic,Question,Equation,Answer
Alcohols Phenols Ethers,Phenol Reactions,How does phenol react with sodium metal?,2C₆H₅OH + 2Na → 2C₆H₅ONa + H₂,Sodium displaces hydrogen from phenol forming hydrogen gas
Alcohols Phenols Ethers,Phenol Reactions,What happens when phenol reacts with bromine water?,C₆H₅OH + 3Br₂ → C₆H₂Br₃OH + 3HBr,Phenol undergoes electrophilic substitution due to activated ring
Alcohols Phenols Ethers,Phenol Reactions,What are products of phenol nitration with dilute HNO₃?,C₆H₅OH + HNO₃ → o-C₆H₄(NO₂)OH + p-C₆H₄(NO₂)OH,Phenol undergoes substitution at ortho and para positions
Alcohols Phenols Ethers,Phenol Reactions,What happens when phenol reacts with concentrated HNO₃?,C₆H₅OH + 3HNO₃ → C₆H₂(NO₂)₃OH + 3H₂O,Strong nitration introduces three nitro groups
Alcohols Phenols Ethers,Phenol Reactions,How does phenol react with H₂SO₄?,C₆H₅OH + H₂SO₄ → o-C₆H₄(OH)SO₃H + p-C₆H₄(OH)SO₃H,Sulfonation occurs at ortho and para positions
Alcohols Phenols Ethers,Phenol Reactions,What is Kolbe reaction of phenol?,C₆H₅ONa + CO₂ → o-C₆H₄(OH)COONa,Sodium phenoxide reacts with CO₂ forming salicylic acid
Alcohols Phenols Ethers,Phenol Reactions,What is Reimer–Tiemann reaction?,C₆H₅OH + CHCl₃ + 3NaOH → o-C₆H₄(OH)CHO + 3NaCl + 2H₂O,Phenol reacts with CHCl₃ introducing –CHO group
Alcohols Phenols Ethers,Phenol Reactions,How is anisole formed from phenol?,C₆H₅ONa + CH₃I → C₆H₅OCH₃ + NaI,Sodium phenoxide reacts with alkyl halide forming ether
Alcohols Phenols Ethers,Phenol Reactions,What happens on oxidation of phenol?,C₆H₅OH → C₆H₄O₂,Oxidation converts phenol to benzoquinone
Alcohols Phenols Ethers,Phenol Reactions,What is azo coupling reaction of phenol?,C₆H₅OH + C₆H₅N₂⁺Cl⁻ → C₆H₅–N=N–C₆H₄OH + HCl,Phenol reacts with diazonium salt forming colored azo compound
Alcohols Phenols Ethers,Phenol Reactions,How does phenol react with acetyl chloride?,C₆H₅OH + CH₃COCl → C₆H₅OCOCH₃ + HCl,Phenol reacts with acid chloride forming ester
Alcohols Phenols Ethers,Phenol Reactions,What happens when phenol is heated with Zn?,C₆H₅OH + Zn → C₆H₆ + ZnO,Zinc removes oxygen forming benzene
Alcohols Phenols Ethers,Phenol Reactions,How is phenol identified using FeCl₃?,3C₆H₅OH + FeCl₃ → Fe(OC₆H₅)₃ + 3HCl,Phenol forms complex with Fe³⁺ ions giving colored solution
Alcohols Phenols Ethers,Phenol Reactions,What is Fries rearrangement?,C₆H₅OCOCH₃ → o-C₆H₄(OH)COCH₃ + p-C₆H₄(OH)COCH₃,Phenyl ester rearranges to ortho/para hydroxy ketone
Alcohols Phenols Ethers,Phenol Reactions,How does C₆H₅OCH₃ react with HI?,C₆H₅OCH₃ + HI → C₆H₅OH + CH₃I,"In aryl-alkyl ether, bond breaks at alkyl side due to SN2 attack by I⁻"
Alcohols Phenols Ethers,Phenol Reactions,Why does C₆H₅Cl not react with NaOH to form C₆H₅OH easily?,C₆H₅Cl + NaOH → No reaction (under normal conditions),Partial double bond character in C–Cl bond due to resonance makes substitution difficult
Alcohols Phenols Ethers,Phenol Properties,Why is phenol acidic?,C₆H₅O⁻ ↔ resonance structures,Negative charge is delocalized over benzene ring stabilizing phenoxide ion
Alcohols Phenols Ethers,Phenol Properties,How is phenoxide ion stabilized?,"C₆H₅O⁻ → o-, p- delocalization",Negative charge spreads over ortho and para positions
Alcohols Phenols Ethers,Phenol Properties,Which is more acidic: phenol or alcohol?,C₆H₅OH > C₂H₅OH,Phenoxide ion is stabilized by resonance while alkoxide is not
Alcohols Phenols Ethers,Phenol Reactions,Does phenol react with NaHCO₃?,C₆H₅OH + NaHCO₃ → No reaction,Phenol is weaker acid than carbonic acid
Alcohols Phenols Ethers,Phenol Reactions,Does phenol react with Na₂CO₃?,C₆H₅OH + Na₂CO₃ → No reaction,Phenol cannot displace carbonate ion
Alcohols Phenols Ethers,Phenol Properties,Why is phenol highly reactive?,C₆H₅OH → activated ring,Resonance increases electron density in ring
Alcohols Phenols Ethers,Phenol Properties,Where does substitution occur in phenol?,C₆H₅OH → o/p substitution,–OH directs electrophiles to o/p positions
Alcohols Phenols Ethers,Phenol Properties,Why is o-nitrophenol steam volatile?,o-NO₂–C₆H₄–OH → intramolecular H-bond,Hydrogen bonding occurs within molecule
Alcohols Phenols Ethers,Phenol Properties,Why is p-nitrophenol non-volatile?,p-NO₂–C₆H₄–OH → intermolecular H-bond,Molecules associate forming strong H-bonds
Alcohols Phenols Ethers,Phenol Properties,Which nitrophenol is steam volatile?,o-NO₂–C₆H₄–OH → volatile,Intramolecular H-bonding reduces boiling point
Alcohols Phenols Ethers,Phenol Properties,Which nitrophenol is non-volatile?,p-NO₂–C₆H₄–OH → non-volatile,Intermolecular bonding increases boiling point
Alcohols Phenols Ethers,Phenol Formation,How is phenol prepared from chlorobenzene?,C₆H₅Cl + NaOH → C₆H₅OH + NaCl,Chlorobenzene reacts with NaOH at high temperature
Alcohols Phenols Ethers,Phenol Formation,How is phenol prepared from benzene sulfonic acid?,C₆H₅SO₃H + NaOH → C₆H₅OH + Na₂SO₃,Sulfonic acid group replaced by –OH
Alcohols Phenols Ethers,Phenol Formation,How is phenol prepared from diazonium salt?,C₆H₅N₂⁺Cl⁻ → C₆H₅OH + N₂ + HCl,Diazonium salt decomposes forming phenol
Alcohols Phenols Ethers,Ether Basics,What is the general structure of ether?,R–O–R′,Ether contains oxygen bonded to two alkyl/aryl groups
Alcohols Phenols Ethers,Ether Basics,What are types of ethers?,"R–O–R , R–O–R′",Ethers classified as symmetrical and unsymmetrical
Alcohols Phenols Ethers,Ether Basics,How are ethers named?,CH₃OCH₂CH₃ → methoxyethane,Smaller group becomes alkoxy substituent
Alcohols Phenols Ethers,Ether Formation,How is ether formed?,C₂H₅ONa + CH₃I → C₂H₅OCH₃ + NaI,Alkoxide attacks alkyl halide
Alcohols Phenols Ethers,Ether Formation,Why tertiary halides fail?,(CH₃)₃CBr + NaOC₂H₅ → C₄H₈ + NaBr + C₂H₅OH,Steric hindrance prevents substitution
Alcohols Phenols Ethers,Ether Formation,How is ether formed from alcohol?,2C₂H₅OH → C₂H₅OC₂H₅ + H₂O,Two alcohol molecules combine
Alcohols Phenols Ethers,Ether Properties,Why ethers are soluble in water?,R–O–R + H₂O → R–O···H–O–H,Oxygen interacts with water
Alcohols Phenols Ethers,Ether Properties,Why ethers act as Lewis bases?,R–O–R + H⁺ → R–OH⁺–R,Oxygen donates electron pair
Alcohols Phenols Ethers,Ether Reactions,How does ether react with HI?,C₂H₅OC₂H₅ + HI → C₂H₅OH + C₂H₅I,Protonation followed by cleavage
Alcohols Phenols Ethers,Ether Reactions,What happens with excess HI?,C₂H₅OC₂H₅ + 2HI → 2C₂H₅I + H₂O,Alcohol further reacts
Alcohols Phenols Ethers,Ether Reactions,How does anisole react with HI?,C₆H₅OCH₃ + HI → C₆H₅OH + CH₃I,Aryl bond remains intact
Alcohols Phenols Ethers,Ether Reactions,How does anisole react with Br₂?,C₆H₅OCH₃ + Br₂ → o/p-BrC₆H₄OCH₃,–OCH₃ activates ring
Alcohols Phenols Ethers,Ether Reactions,How does anisole react with HNO₃?,C₆H₅OCH₃ + HNO₃ → o/p-NO₂C₆H₄OCH₃,–OCH₃ activates ring
Alcohols Phenols Ethers,Ether Reactions,Why ethers form peroxides?,R–O–R + O₂ → R–O–O–R,Ethers form explosive peroxides
Alcohols Phenols Ethers,Ether Basics,Are ethers polar?,R–O–R′ (δ− on O),Due to C–O bond polarity
Alcohols Phenols Ethers,Ether Formation,Why aryl halides don’t react?,C₆H₅Cl + NaOR → No reaction,Resonance prevents SN2
Alcohols Phenols Ethers,Ether Properties,Compare boiling point,R–O–R < R–OH < H₂O,Less H-bonding
Alcohols Phenols Ethers,Ether Properties,How chain affects boiling point?,CH₃OCH₃ < C₂H₅OC₂H₅,Van der Waals forces increase
Alcohols Phenols Ethers,Ether Properties,How ethers dissolve acids?,R–O–R + H⁺ → R–OH⁺–R,Oxygen donates lone pair
Alcohols Phenols Ethers,Ether Reactions,Why HCl ineffective?,R–O–R + HCl → No reaction,Cl⁻ cannot cleave ether
Alcohols Phenols Ethers,Ether Reactions,Why anisole is reactive?,C₆H₅OCH₃ → activated ring,Resonance donation
Alcohols Phenols Ethers,Ether Concepts,Compare alcohol and ether,R–O–R vs R–OH,No hydrogen bonding
Alcohols Phenols Ethers,Ether Concepts,Why ethers stable?,R–O–R (stable),Resistant to mild reagents
Alcohols Phenols Ethers,Ether Formation,Why only symmetrical ethers formed?,ROH + R′OH → mixture,Mixed alcohols give mixture
Alcohols Phenols Ethers,Ether Reactions,Which bond breaks in unsymmetrical ether?,R–O–CH₃ + HI → R–OH + CH₃I,SN2 attack at primary carbon
Alcohols Phenols Ethers,Ether Reactions,Which side breaks in tertiary ether?,(CH₃)₃COCH₃ + HI → (CH₃)₃CI + CH₃OH,SN1 preferred
Alcohols Phenols Ethers,Ether Reactions,Why aryl–O bond does not break?,C₆H₅–O–CH₃ → stable bond,Partial double bond character
Alcohols Phenols Ethers,Ether Reactions,Why anisole does not undergo Friedel-Crafts alkylation easily?,C₆H₅OCH₃ + AlCl₃ → complex,Oxygen binds catalyst
Alcohols Phenols Ethers,Ether Reactions,How to detect peroxide?,R–O–O–R + KI → I₂,Peroxide oxidizes iodide
Alcohols Phenols Ethers,Ether Concepts,How ethers stored safely?,R–O–R (stored safely),Prevent peroxide formation
Alcohols Phenols Ethers,Alcohol Formation,What is an alcohol?,R–OH,An alcohol is an organic compound in which a hydroxyl group (–OH) is attached to a saturated carbon atom. The presence of this –OH group gives alcohols their characteristic chemical and physical properties such as hydrogen bonding and polarity.
Alcohols Phenols Ethers,Alcohol Formation,What is the general formula of alcohol?,R–OH,"The general formula of alcohol is R–OH, where “R” represents an alkyl group (a hydrocarbon chain). This formula indicates that alcohols are derived from alkanes by replacing one hydrogen atom with a hydroxyl group."
Alcohols Phenols Ethers,Alcohol Formation,Which functional group is present in alcohol?,–OH,Alcohols contain the hydroxyl functional group (–OH). This group is responsible for most of the chemical reactions and intermolecular interactions of alcohols.
Alcohols Phenols Ethers,Alcohol Formation,Which reagent is used to convert alkene to alcohol?,CH2=CH2 + H2O → CH3CH2OH (H2SO4),Alkenes are converted to alcohols using water (H₂O) in the presence of an acid catalyst such as dilute sulfuric acid (H₂SO₄) or phosphoric acid (H₃PO₄). The acid helps in protonation and facilitates the addition reaction.
Alcohols Phenols Ethers,Alcohol Formation,What type of reaction forms alcohol from alkene?,RCH=CH2 + H2O → RCH(OH)CH3,"Alcohol formation from alkenes occurs through an addition reaction. Specifically, it is an electrophilic addition where water adds across the double bond of the alkene."
Alcohols Phenols Ethers,Alcohol Formation,Which reagents convert aldehyde to alcohol?,R–CHO + [H] → R–CH2OH,Aldehydes can be reduced to alcohols using reducing agents such as Sodium borohydride or Lithium aluminium hydride. These reagents provide hydrogen atoms that convert the carbonyl group (–CHO) into a hydroxyl group.
Alcohols Phenols Ethers,Alcohol Formation,What type of alcohol is formed from aldehyde reduction?,R–CHO + [H] → R–CH2OH,Reduction of aldehydes produces primary alcohols because the carbonyl carbon is converted into a carbon bonded to –OH and two hydrogen atoms.
Alcohols Phenols Ethers,Alcohol Formation,What is hydration?,RCH=CH2 + H2O → RCH(OH)CH3,"Hydration is a chemical process in which a water molecule is added to another compound. In organic chemistry, it commonly refers to the addition of water across a double bond to form alcohol."
Alcohols Phenols Ethers,Alcohol Formation,How are alcohols formed from alkenes?,CH3–CH=CH2 + H2O → CH3–CHOH–CH3,"Alcohols are formed from alkenes by a process called hydration, in which water is added across the carbon-carbon double bond. This reaction takes place in the presence of an acid catalyst such as sulfuric acid. The reaction follows Markovnikov’s rule, meaning that the hydrogen atom attaches to the carbon atom that already has more hydrogen atoms, while the hydroxyl group attaches to the more substituted carbon. The mechanism proceeds through the formation of a carbocation intermediate."
Alcohols Phenols Ethers,Alcohol Formation,What is reduction of carbonyl compounds?,R–CO–R' + [H] → R–CHOH–R',"Reduction of carbonyl compounds involves the addition of hydrogen or removal of oxygen from aldehydes and ketones. Aldehydes are reduced to primary alcohols, while ketones are reduced to secondary alcohols. This reaction is typically carried out using reducing agents like sodium borohydride or lithium aluminium hydride."
Alcohols Phenols Ethers,Alcohol Formation,How are alcohols formed from alkyl halides?,R–X + OH⁻ → R–OH + X⁻,"Alcohols are formed from alkyl halides through a nucleophilic substitution reaction. In this process, the halogen atom (such as Cl, Br, or I) is replaced by a hydroxyl group (–OH) using aqueous potassium hydroxide (KOH) or sodium hydroxide (NaOH). The hydroxide ion acts as a nucleophile and attacks the carbon atom bonded to the halogen."
Alcohols Phenols Ethers,Alcohol Formation,What is fermentation?,C6H12O6 → 2C2H5OH + 2CO2,Fermentation is a biological process in which sugars such as glucose are converted into ethanol and carbon dioxide by the action of microorganisms like yeast. This process occurs under anaerobic conditions (absence of oxygen) and is widely used in industries for the production of alcoholic beverages and biofuels.
Alcohols Phenols Ethers,Alcohol Formation,Why does alkene hydration follow Markovnikov’s rule?,CH3–CH=CH2 + H2O → CH3–CHOH–CH3,"Alkene hydration follows Markovnikov’s rule because the reaction proceeds through a carbocation intermediate. The more stable carbocation is preferentially formed, which occurs when the positive charge is on the more substituted carbon. As a result, the hydroxyl group ultimately attaches to that carbon."
Alcohols Phenols Ethers,Alcohol Formation,Why is LiAlH₄ stronger than NaBH₄?,R–COOH + [H] → R–CH2OH,"Lithium aluminium hydride is a stronger reducing agent than sodium borohydride because it releases hydride ions more readily. It can reduce a wider range of compounds including carboxylic acids and esters, whereas sodium borohydride is milder and mainly reduces aldehydes and ketones."
Alcohols Phenols Ethers,Alcohol Formation,Why is aqueous KOH used instead of alcoholic KOH?,R–X + OH⁻ → R–OH + X⁻,"Aqueous KOH promotes nucleophilic substitution reactions, leading to the formation of alcohols. In contrast, alcoholic KOH favors elimination reactions, resulting in the formation of alkenes. Therefore, aqueous KOH is specifically used when alcohol formation is desired."
Alcohols Phenols Ethers,Alcohol Formation,Write the reaction for alcohol formation from alkene.,CH2=CH2 + H2O → CH3CH2OH,"When ethene reacts with water in the presence of an acid catalyst, ethanol is formed. This is an addition reaction where the double bond breaks and water adds across it."
Alcohols Phenols Ethers,Alcohol Formation,Write reduction reaction of ketone.,CH3COCH3 + [H] → CH3CHOHCH3,A ketone reacts with a reducing agent such as sodium borohydride to form a secondary alcohol. The carbonyl group is converted into a hydroxyl group.
Alcohols Phenols Ethers,Alcohol Formation,Write reaction of alkyl halide to alcohol.,CH3Cl + OH⁻ → CH3OH + Cl⁻,An alkyl halide reacts with aqueous sodium hydroxide to form an alcohol. The halogen atom is replaced by a hydroxyl group through nucleophilic substitution.
Alcohols Phenols Ethers,Alcohol Formation,Explain the mechanism of acid-catalyzed hydration of alkenes.,CH3–CH=CH2 + H+ → CH3–C+H–CH3 → CH3–CHOH–CH3,"In acid-catalyzed hydration, the alkene first undergoes protonation to form the most stable carbocation intermediate. Water then attacks the carbocation forming an oxonium ion, which subsequently loses a proton to give alcohol. The reaction follows Markovnikov’s rule due to carbocation stability."
Alcohols Phenols Ethers,Alcohol Formation,Why do tertiary alcohols form more readily in alkene hydration?,(CH3)2C=CH2 + H2O → (CH3)3COH,"Tertiary alcohols form more readily because tertiary carbocations are more stable due to hyperconjugation and inductive effects. During hydration, the pathway leading to the most stable carbocation is favored, resulting in formation of tertiary alcohols."
Alcohols Phenols Ethers,Alcohol Formation,Compare hydroboration-oxidation and acid-catalyzed hydration.,1) BH3/THF 2) H2O2/OH− → Anti-Markovnikov alcohol,"Hydroboration-oxidation gives anti-Markovnikov alcohol where –OH attaches to less substituted carbon, while acid-catalyzed hydration follows Markovnikov’s rule. Hydroboration proceeds via a concerted mechanism without carbocation, avoiding rearrangements."
Alcohols Phenols Ethers,Alcohol Formation,Why does hydroboration-oxidation not show carbocation rearrangement?,RCH=CH2 → RCH2CH2OH,"The reaction proceeds via a concerted transition state instead of forming a carbocation intermediate. Therefore, there is no opportunity for rearrangement, leading to more predictable products."
Alcohols Phenols Ethers,Alcohol Formation,Explain SN1 mechanism in alcohol formation from alkyl halides.,R–X → R+ + X− → R–OH,"In SN1 mechanism, the alkyl halide first forms a carbocation intermediate after losing the halide ion. Water or hydroxide ion then attacks the carbocation to form alcohol. This mechanism is common in tertiary halides."
Alcohols Phenols Ethers,Alcohol Formation,Explain SN2 mechanism in alcohol formation.,R–X + OH− → R–OH + X−,"In SN2 mechanism, the hydroxide ion attacks the carbon atom from the backside simultaneously as the halide leaves. This results in inversion of configuration and occurs in primary alkyl halides."
Alcohols Phenols Ethers,Alcohol Formation,Why do primary alkyl halides prefer SN2 mechanism?,R–CH2–X + OH− → R–CH2–OH,"Primary alkyl halides have less steric hindrance, allowing nucleophiles to easily attack the carbon atom. Hence, SN2 mechanism is favored over SN1."
Alcohols Phenols Ethers,Alcohol Formation,Explain reduction of carboxylic acids to alcohols.,R–COOH + 4[H] → R–CH2OH + H2O,Carboxylic acids are reduced to primary alcohols using strong reducing agents like lithium aluminium hydride. The carbonyl group is completely reduced to a hydroxyl group.
Alcohols Phenols Ethers,Alcohol Formation,How does Grignard reagent form alcohols?,R–MgX + R'–CHO → R–CH(OH)–R',"Grignard reagents act as nucleophiles and attack the carbonyl carbon of aldehydes or ketones. After hydrolysis, alcohols are formed. The type of alcohol depends on the carbonyl compound used."
Alcohols Phenols Ethers,Alcohol Formation,Why must Grignard reactions be carried out in dry conditions?,R–MgX + H2O → RH + Mg(OH)X,"Grignard reagents react violently with water, getting destroyed before reacting with carbonyl compounds. Therefore, dry ether conditions are necessary to prevent side reactions."
Alcohols Phenols Ethers,Alcohol Formation,Explain formation of alcohol from epoxides.,Epoxide + H2O → Diol,Alcohols are formed by ring opening of epoxides under acidic or basic conditions. The nucleophile attacks the strained three-membered ring leading to alcohol formation.
Alcohols Phenols Ethers,Alcohol Formation,Why is Markovnikov addition observed in hydration?,CH3–CH=CH2 + H2O → CH3–CHOH–CH3,"Markovnikov addition occurs because the reaction proceeds through the formation of the most stable carbocation intermediate, directing the hydroxyl group to the more substituted carbon."
Alcohols Phenols Ethers,Alcohol Formation,Explain oxidation-reduction relationship in alcohol formation.,C=O → C–OH,"Alcohol formation often involves reduction of carbonyl compounds where hydrogen is added to the carbonyl group, converting it into a hydroxyl group."
Alcohols Phenols Ethers,Alcohol Formation,Why is fermentation considered a green method?,C6H12O6 → 2C2H5OH + 2CO2,Fermentation is environmentally friendly because it uses renewable resources like sugar and produces ethanol under mild conditions without harmful by-products.
