Chapter,Topic,Question,Equation,Answer
Haloalkanes and Haloarenes,Haloalkane Formation,Formation from alcohol using HCl.,R–OH + HCl → R–Cl + H2O,Alcohol reacts with hydrogen halide to give haloalkane via substitution reaction.
Biomolecules,Proteins,Explain role of disulfide bonds.,2R–SH → R–S–S–R,Disulfide bonds between cysteine residues stabilize tertiary structure.
Chemistry in Everyday Life,Food Chemistry,Which vitamin acts as coenzyme?,vitamin + enzyme → active enzyme,Many vitamins act as coenzymes aiding enzyme function.
States of Matter,Gas Properties,What is mean free path?,average distance between collisions,It is average distance traveled before collision.
Hydrocarbons,Alkene Formation,Formation from vicinal dihalides.,RCHX–CHXR → RC≡CR,Vicinal dihalides undergo dehalogenation to form unsaturated compounds.
Structure of Atom,Atomic Models,What was Rutherford’s experiment?,alpha particles on gold foil,Alpha particles were bombarded on thin gold foil.
Polymers,Polymer Concepts,Why is LDPE softer than HDPE?,more branching,Branching reduces crystallinity and intermolecular attraction.
Alcohols Phenols Ethers,Alcohol Tests,What is Tollen’s test relevance to alcohol?,No reaction,"Alcohols do not directly give Tollen’s test unless converted to aldehydes, so silver mirror is not formed."
Thermodynamics,First Law,First law for adiabatic process?,ΔU = w,Internal energy change equals work.
Redox Reactions,Redox Reactions,Why are redox reactions important?,energy and industry,"Redox reactions occur in batteries, respiration, corrosion, and metallurgy."
Structure of Atom,Atomic Models,Who proposed plum pudding model?,J.J. Thomson,J.J. Thomson proposed plum pudding atomic model.
Hydrocarbons,Alkene Reactions,What is hydrogenation of alkenes?,C=C + H2 → alkane,Addition of hydrogen across the double bond in presence of catalyst is called hydrogenation.
Polymers,Polymer Classification,What are linear polymers?,HDPE,Linear polymers contain long straight chains without branching.
States of Matter,Gas Laws,Why do real gases deviate strongly at high pressure?,significant molecular volume,Molecular size and attractions become important.
Alcohols Phenols Ethers,Alcohol Tests,How does ester test confirm presence of alcohol?,CH3COOH + ROH ⇌ CH3COOR + H2O,"Alcohol reacts with carboxylic acid forming ester with fruity smell, confirming presence of –OH group."
Structure of Atom,Subatomic Particles,Which subatomic particle determines atomic number?,proton,Atomic number equals number of protons.
Thermodynamics,Thermodynamic Properties,Why are Cp and Cv different?,work done during expansion,At constant pressure extra heat performs work.
Physical Chemistry,Formula Calculation,Explain another common JEE trap involving empirical formula calculation.,use moles not masses,Percentage masses must first be converted into moles before ratio simplification.
Aldehydes and Ketones,Aldehyde Tests,Explain selectivity of aldehyde tests in presence of ketones.,RCHO + reagent → positive,"Tests like Tollens and Schiff are selective because aldehydes are more reactive and easily oxidized, whereas ketones remain mostly unreactive."
Haloalkanes and Haloarenes,Haloalkane Concepts,Predict kinetic vs thermodynamic product.,kinetic vs thermodynamic alkene,Less substituted alkene may form faster while more substituted alkene is more stable.
Equilibrium,Hydrolysis,Derive pH expression for salt of weak acid and strong base.,pH = 7 + ½(pKa + log C),"From hydrolysis, [OH⁻] = √(Kh × C). Substituting Kh = Kw/Ka gives [OH⁻] = √(KwC/Ka). Taking log and converting to pH gives final expression. This shows pH depends on both Ka and concentration."
Biomolecules,Nucleic Acids,Explain role of DNA polymerase.,DNA → new strand,DNA polymerase catalyzes addition of nucleotides in 5'→3' direction during replication.
Amines,Amine Reactions,Predict product when acetanilide reacts with Br2.,C6H5NHCOCH3 + Br2 → p-bromoacetanilide,Acetylation protects amine group and directs substitution mainly to para position.
Polymers,Polymerization Mechanism,Why is stereoregularity important in polymers?,influences crystallinity,Regular arrangement improves strength and melting point.
Thermodynamics,Thermodynamic Properties,What is heat capacity?,heat required for temperature rise,Heat capacity measures resistance to temperature change.
Aldehydes and Ketones,Aldehyde Tests,Explain why formaldehyde gives strong positive Tollens test.,HCHO + [Ag(NH3)2]+ → HCOOH + Ag,"Formaldehyde is highly reactive due to absence of alkyl groups, making oxidation easier and giving strong positive Tollens test."
Structure of Atom,Bohr Model,What is de Broglie explanation of Bohr orbits?,standing electron waves,Allowed orbits contain integral number of wavelengths.
Thermodynamics,Third Law,What is third law of thermodynamics?,entropy at absolute zero,The entropy of a perfect crystal is zero at 0 K.
Equilibrium,Buffer Solutions,Predict pH change when strong acid exceeds buffer capacity.,buffer failure,"If added acid is large enough to consume all conjugate base, buffer fails and pH drops sharply like normal solution."
Equilibrium,Acid–Base Theory,Effect of dilution on weak electrolyte.,C ↓ → α ↑,Dilution increases ionization of weak acids/bases because equilibrium shifts toward ion formation.
Physical Chemistry,Concentration,What is mole fraction of solute if solution contains 2 moles solute and 8 moles solvent?,Xsolute = 2/10,Mole fraction of solute = 0.2.
Haloalkanes and Haloarenes,Haloalkane Formation,Predict product in multi-step synthesis (alkene → alcohol → haloalkane).,alkene → alcohol → R–X,"Alkene first undergoes hydration, then substitution with HX or SOCl2 to form haloalkane."
States of Matter,Gas Laws,What is Boyle’s law?,P ∝ 1/V at constant T,Boyle’s law states that pressure is inversely proportional to volume at constant temperature.
Chemistry in Everyday Life,Cleansing Agents,What is hydrophilic part?,polar head → water soluble,Hydrophilic head interacts with water making molecule soluble.
Thermodynamics,Gibbs Energy,Why does small equilibrium constant mean positive ΔG°?,reactants favored,Reaction is non-spontaneous in forward direction.
Equilibrium,Basic Concepts,Explain temperature dependence of ΔG°.,ΔG° = −RT ln K,"As temperature changes, equilibrium constant changes accordingly."
Amines,Amine Reactions,What happens when amines react with aldehydes?,R–NH2 + R'CHO → R–N=CHR' + H2O,Amines react with aldehydes forming imines (Schiff bases) via condensation reaction.
Structure of Atom,Orbitals,Energy order in same shell?,s < p < d < f,Penetration determines energy order.
Alcohols Phenols Ethers,Ether Properties,Why are ethers used as anesthetics?,R–O–R ⇌ interaction with biological system,"Ethers can easily vaporize and dissolve in lipids, allowing them to affect the nervous system, which is why some ethers are used as anesthetics."
Structure of Atom,Atomic Models,Conclusion from Rutherford experiment?,nucleus exists,Atom contains small dense positively charged nucleus.
Physical Chemistry,Gas Laws,State Graham’s law of diffusion.,r ∝ 1/√M,Rate of diffusion of gases is inversely proportional to square root of molar mass.
Amines,Amine Reactions,Predict product when aniline reacts with HNO2 at low temperature.,C6H5NH2 + HNO2 → C6H5N2+Cl− + H2O,Aniline forms stable diazonium salt under cold conditions.
Aldehydes and Ketones,Aldehyde Formation,Why is DIBAL-H used at low temperature for aldehyde formation?,RCOOR' + DIBAL-H → RCHO + R'OH,"DIBAL-H is a bulky reducing agent that can partially reduce esters to aldehydes at low temperature (−78°C). At higher temperatures, further reduction to alcohol may occur, so temperature control ensures aldehyde formation."
States of Matter,Real Gases,Why does hydrogen show positive deviation from ideality?,very weak attractions,repulsive volume effect dominates.
Structure of Atom,Spectral Series,Why do multielectron atoms show complex spectra?,multiple electron interactions,Electron repulsions create many energy levels.
Alcohols Phenols Ethers,Ether Reactions,Predict product when ether reacts with dilute acid only.,R–O–R + H+ → R–OH+–R,"In dilute acid, ether gets protonated but does not undergo cleavage because nucleophile is weak."
Hydrocarbons,Alkyne Formation,Explain significance of acetylene in industry.,HC≡CH → industrial chemicals,"Acetylene is used in welding and synthesis of polymers, aldehydes, and vinyl compounds."
States of Matter,Kinetic Theory,Why is kinetic theory important in modern chemistry?,basis of gas behavior explanation,It forms foundation of thermodynamics and statistical mechanics.
Thermodynamics,Enthalpy,What are standard conditions?,1 atm and specified temperature,Usually taken as 298 K and 1 atm.
Amines,Amine Properties,Explain why tertiary amines are strongest bases in gas phase.,R3N + H+ → R3NH+,"In gas phase, no solvation effects exist, so electron-donating alkyl groups dominate, making tertiary amines most basic."
Alcohols Phenols Ethers,Alcohol Formation,Predict major product of hydration of but-1-ene.,CH2=CH–CH2CH3 + H2O → CH3–CHOH–CH2CH3,Hydration follows Markovnikov rule forming 2-butanol as the major product.
Haloalkanes and Haloarenes,Haloarene Formation,Compare formation of haloalkanes vs haloarenes.,R–H vs Ar–H,"Haloalkanes are formed via substitution/addition, while haloarenes are mainly formed via electrophilic substitution."
Amines,Amine Formation,How are amines prepared by reduction of nitro compounds?,R–NO2 + 6[H] → R–NH2 + 2H2O,"Nitro compounds are reduced using reagents like Sn/HCl, Fe/HCl or catalytic hydrogenation to form primary amines. This is an important industrial method."
Haloalkanes and Haloarenes,Haloalkane Reactions,Explain NaNO2 vs AgNO2 product difference.,R–X + NO2−/AgNO2 → products,"NaNO2 gives alkyl nitrites via oxygen attack, while AgNO2 gives nitroalkanes via nitrogen attack."
Chemistry in Everyday Life,Drugs,What are antiseptic examples?,phenol → antiseptic,Compounds like phenol act as antiseptics at low concentration.
Redox Reactions,Redox Reactions,Why are redox reactions central to metallurgy?,metal extraction,Metals are extracted through reduction of ores.
Equilibrium,Basic Concepts,Derive expression for degree of dissociation using Kp.,Kp = (Pα²)/(1−α²),Used for gaseous dissociation reactions like N2O4 ⇌ 2NO2.
Hydrocarbons,Alkene Concepts,Why is the π-bond more reactive than the σ-bond?,sidewise overlap weaker,"Pi bonds possess weaker sideways overlap and exposed electron density, making them susceptible to electrophilic attack."
Amines,Amine Formation,Predict product when amide is reduced using LiAlH4.,RCONH2 + 4[H] → RCH2NH2,Amide reduction produces amine without loss of carbon chain.
Biomolecules,Nucleic Acids,Explain base stacking interactions in DNA.,bases → stacked structure,π–π interactions between aromatic bases stabilize DNA more significantly than hydrogen bonds.
Amines,Amine Formation,How is nonylamine (C₉H₂₁N) formed?,9C + 21H + N → C9H21N,Nine carbon atoms form chain with –NH₂ group
Chemistry in Everyday Life,Soaps and Detergents,What is role of emulsification?,oil + water → emulsion,Soap emulsifies grease allowing it to mix with water and be removed.
Hydrocarbons,Alkene Concepts,Why does peroxide effect not occur with HCl or HI?,unfavorable radical energetics,The propagation steps for HCl and HI are thermodynamically unfavorable.
Structure of Atom,Electronic Configuration,What is subshell?,"s,p,d,f divisions",Subshells are divisions within shells.
Thermodynamics,Second Law,Why is entropy maximum at equilibrium?,most probable state,Equilibrium corresponds to maximum randomness.
Equilibrium,Le Chatelier Principle,What is role of equilibrium constant K?,K = constant,"K depends only on temperature, not concentration or pressure."
Hydrocarbons,Alkene Formation,Explain transition state in E2 mechanism.,[β-H···base···X],The transition state contains partial bond breaking and formation simultaneously with developing π-bond.
Thermodynamics,Gibbs Energy,Why are diamond and graphite example important?,spontaneous but slow transition,Graphite is thermodynamically more stable.
States of Matter,Gas Laws,What is ideal gas equation?,PV = nRT,Combines all gas laws
Hydrocarbons,Alkane Concepts,What are conformations?,Ethane → staggered/eclipsed,Rotation around C–C bond
Biomolecules,Nucleic Acids,Explain formation of nucleotide from nucleoside.,nucleoside + phosphate → nucleotide,Phosphate group attaches to 5' carbon of sugar forming nucleotide via ester linkage.
Thermodynamics,Enthalpy,Why is enthalpy important in chemistry?,energy analysis of reactions,It explains heat changes in chemical processes.
Chemistry in Everyday Life,Drugs,Explain therapeutic index.,effective dose vs toxic dose,Therapeutic index measures safety margin of drug between effective and toxic doses.
Hydrocarbons,Alkane Reactions,Why is complete combustion preferred over incomplete combustion?,CH4 + 2O2 → CO2 + 2H2O,Complete combustion releases maximum energy and avoids formation of poisonous carbon monoxide.
Redox Reactions,Equivalent Concept,Calculate equivalent mass of KMnO4 in acidic medium.,158/5,Equivalent mass of KMnO4 is 31.6.
Aldehydes and Ketones,Aldehyde Formation,Choose correct reagent for selective oxidation of primary alcohol to aldehyde.,RCH2OH + PCC → RCHO + H2O,PCC is preferred reagent because it prevents over-oxidation to carboxylic acid.
Physical Chemistry,Atomic Mass,How is average atomic mass calculated?,Average mass = Σ(fi × mi),Considers isotopic abundance
Equilibrium,Acid–Base Theory,Explain relationship between equilibrium and acid-base strength.,Ka × Kb = Kw,Strong acid has weak conjugate base and vice versa due to inverse relationship.
Haloalkanes and Haloarenes,Haloalkane Concepts,Predict major alkene using small strong base.,R–CH2–CH2X + base → Zaitsev product,Small strong bases remove proton leading to more substituted and stable alkene.
Alcohols Phenols Ethers,Phenol Reactions,Predict product when phenol reacts with NaOH followed by CO2 and acidification.,C6H5ONa + CO2 → o-HOC6H4COONa ; H+ → o-HOC6H4COOH,"This is Kolbe reaction. Sodium phenoxide reacts with CO2 at ortho position forming salicylate, which upon acidification gives salicylic acid as the major product due to intramolecular hydrogen bonding stabilization."
Carboxylic Acids,Carboxylic Acid Properties,Explain acidity order: HCOOH vs CH3COOH.,R–COOH ⇌ R–COO−,Formic acid is more acidic because it lacks electron-donating alkyl group.
Aldehydes and Ketones,Aldehyde Reactions,Predict product when aldehyde reacts with PCl5.,RCHO + PCl5 → RCHCl2 + POCl3,Aldehydes react with phosphorus pentachloride replacing oxygen with chlorine forming gem-dichloride.
Hydrocarbons,Alkane Formation,What is soda lime?,NaOH + CaO,Soda lime is mixture of sodium hydroxide and calcium oxide used in decarboxylation.
Aldehydes and Ketones,Aldehyde Tests,How does aldehyde react with hydroxylamine in test?,RCHO + NH2OH → RCH=NOH + H2O,Aldehydes form oximes which are crystalline derivatives used for identification.
Carboxylic Acids,Carboxylic Acid Formation,Explain detailed mechanism of oxidation of primary alcohol using KMnO4.,R–CH2OH → R–CHO → R–COOH,"KMnO4 first oxidizes alcohol to aldehyde via formation of intermediate manganate ester, which further oxidizes to carboxylic acid."
Polymers,Polymer Classification,Explain classification based on intermolecular forces.,elastomers/fibres/thermoplastics/thermosets,Polymer properties depend strongly on intermolecular interactions.
Hydrocarbons,Alkene Reactions,What happens during ozonolysis of ethene?,CH2=CH2 + O3 → 2HCHO,Ozone breaks the double bond producing carbonyl compounds.
Redox Reactions,Redox Reactions,Identify oxidized species in Zn + CuSO4 → ZnSO4 + Cu.,Zn → Zn2+,Zinc loses electrons and is oxidized.
Haloalkanes and Haloarenes,Haloalkane Formation,Why peroxide effect observed only with HBr?,RCH=CH2 + HBr → product,Only HBr has suitable bond energies to sustain radical chain mechanism; HCl and HI do not.
Haloalkanes and Haloarenes,Haloalkane Formation,Predict product in Swarts reaction.,R–Cl + AgF → R–F + AgCl,"Used for preparation of alkyl fluorides, especially when direct fluorination is difficult."
Physical Chemistry,Gas Stoichiometry,How many litres of oxygen are required for complete combustion of 2 L propane?,C3H8 + 5O2 → 3CO2 + 4H2O,2 L propane require 10 L oxygen.
Equilibrium,Hydrolysis,What happens in salt of strong acid and strong base?,NaCl ⇌ Na+ + Cl−,"Such salts do not undergo hydrolysis because both ions are from strong electrolytes, so solution remains neutral."
Amines,Amine Reactions,Explain why aliphatic amines are more basic than aromatic amines.,R–NH2 vs C6H5NH2,"Alkyl groups donate electron density via inductive effect increasing availability of lone pair, whereas in aromatic amines the lone pair is delocalized into benzene ring reducing basicity."
Polymers,Polymer Types,Why are copolymers often superior to homopolymers?,combined properties,Copolymers combine useful properties of different monomers.
Alcohols Phenols Ethers,Alcohol Formation,How is hexanol (C₆H₁₃OH) formed?,6C + 14H + O → C6H13OH,Six carbon atoms form a chain and bond with hydrogen and hydroxyl group
Thermodynamics,Second Law,What is second law of thermodynamics?,ΔSuniverse > 0,Processes favor disorder
Alcohols Phenols Ethers,Alcohol Properties,Explain role of steric hindrance in hydrogen bonding.,ROH ⇌ hindered H-bond,"Steric hindrance reduces accessibility of –OH group, weakening hydrogen bonding and affecting properties like boiling point."
Aldehydes and Ketones,Ketone Tests,Why is iodoform test specific for methyl ketones?,CH3CO–R + I2 + NaOH → CHI3,The reaction requires CH3CO– group for successive halogenation and cleavage. Other ketones lacking this group do not give this test.
Thermodynamics,First Law,Why are heat and work path functions?,depend on process,Heat and work depend on path followed.
Equilibrium,Buffer Solutions,Calculate pH of buffer where [salt] = 0.2 M and [acid] = 0.1 M (Ka = 10⁻⁵).,pH = pKa + log(2),"Here ratio = 2, so log(2) ≈ 0.3. Thus pH = 5 + 0.3 = 5.3. Buffer becomes slightly basic compared to pKa."
Hydrocarbons,Alkene Reactions,What is the importance of alkene reactions?,C=C → many products,Alkene reactions are widely used in organic synthesis and petrochemical industries.
Aldehydes and Ketones,Aldehyde Reactions,Explain why aldehydes are more reactive than ketones toward nucleophilic addition.,RCHO + Nu⁻ → addition product,"Aldehydes are more reactive because they have less steric hindrance and greater electrophilicity. The carbonyl carbon in aldehydes is attached to one alkyl group and one hydrogen, making it more accessible to nucleophiles compared to ketones which have two alkyl groups donating electron density and creating steric hindrance."
Biomolecules,Carbohydrates,Why does sucrose not reduce Fehling solution?,sucrose → no free carbonyl,"Both anomeric carbons are involved in glycosidic bond, preventing formation of open chain form."
Biomolecules,Nucleic Acids,What is tRNA?,mRNA → protein,tRNA brings amino acids to ribosome during protein synthesis.
Amines,Amine Properties,Explain why aromatic amines have lower pKb values than expected.,C6H5NH2 ⇌ resonance,"Resonance reduces availability of lone pair, increasing pKb (i.e., lowering basic strength)."
Polymers,Polymer Formation,Explain condensation polymerization mechanism.,functional group reactions,Condensation polymerization proceeds through reactions between bifunctional monomers with elimination of small molecules.
Chemistry in Everyday Life,Food Chemistry,Explain entropy changes in metabolism.,reactants → products,Metabolic reactions increase entropy by breaking complex molecules.
Thermodynamics,Basic Concepts,Why is zeroth law important?,defines temperature,It forms basis of temperature measurement.
Hydrocarbons,Alkene Reactions,Why is peroxide effect not observed with HCl and HI?,HCl/HI do not show peroxide effect,The free radical chain mechanism is energetically unfavorable for HCl and HI because of unsuitable bond dissociation enthalpies.
Equilibrium,Buffer Solutions,What is role of salt in buffer?,salt → conjugate ion,The salt provides conjugate base or acid needed to maintain equilibrium and buffer action.
Haloalkanes and Haloarenes,Haloalkane Reactions,Predict rearranged product in SN1 mechanism.,R–X → rearranged product,Carbocation rearrangement occurs through hydride or methyl shift before nucleophilic attack.
Carboxylic Acids,Carboxylic Acid Reactions,"Arrange reactivity: RCOCl, RCOOR', RCONH2.",RCOCl > RCOOR' > RCONH2,Order depends on leaving group ability and resonance stabilization.
Chemistry in Everyday Life,Soaps and Detergents,Why soaps are ineffective in hard water?,Ca2+ + soap → insoluble salt,Soaps form insoluble calcium/magnesium salts (scum) reducing effectiveness.
Redox Reactions,Oxidation Number,Calculate oxidation number of chlorine in KClO3.,(+1) + x + 3(−2) = 0,Oxidation number of chlorine is +5.
Polymers,Polymer Classification,Give example of copolymer.,buna-S,Buna-S forms from styrene and butadiene.
Alcohols Phenols Ethers,Ether Basics,How are ethers named?,CH₃OCH₂CH₃ → methoxyethane,Smaller group becomes alkoxy substituent
Hydrocarbons,Alkyne Formation,Explain why strong base is required in second elimination.,vinyl halide → alkyne,Vinyl halides are less reactive because carbon-halogen bond has partial double bond character.
Thermodynamics,Enthalpy,Symbol for enthalpy?,H,Enthalpy is represented by H.
Redox Reactions,Redox Reactions,Why are acidic and basic media treated differently in balancing?,H+ and OH− participation,Different ions are available in acidic and alkaline solutions.
Alcohols Phenols Ethers,Alcohol Tests,What is the observation in dichromate test?,CH3CH2OH + [O] → CH3COOH + H2O,"In this test, the color changes from orange (Cr2O7^2−) to green (Cr3+) indicating oxidation of alcohol."
Aldehydes and Ketones,Aldehyde Formation,Explain why DIBAL-H selectively reduces esters to aldehydes at low temperature.,RCOOR' + DIBAL-H → RCHO + R'OH,"DIBAL-H delivers only one hydride ion due to steric hindrance and operates at low temperature. This stops reduction at aldehyde stage. At higher temperature, second hydride attack occurs forming alcohol."
Redox Reactions,Basic Concepts,What is oxidation?,loss of electrons,Oxidation is the process involving loss of electrons.
Hydrocarbons,Alkane Formation,Explain decarboxylation mechanism concept.,RCOONa + NaOH → R–H,Heating sodium carboxylate with soda lime removes carboxyl group as CO2 producing alkane with one less carbon.
Polymers,Polymerization Mechanism,Why are electron-donating substituents favorable in cationic polymerization?,stabilized carbocation,Positive charge stabilization favors chain growth.
Aldehydes and Ketones,Ketone Formation,How are ketones prepared from alkynes?,R–C≡C–R' + H2O → R–CO–R',"Internal alkynes undergo hydration in presence of acid and mercury catalyst, forming enol intermediate which tautomerizes into ketone."
Thermodynamics,Gibbs Energy,When is process spontaneous at low temperature?,ΔH negative and ΔS negative,Enthalpy term dominates at low temperature.
Physical Chemistry,Measurements,How many significant figures are present in 0.00520?,3 significant figures,The number contains three significant figures.
Amines,Amine Formation,Predict product when CH3CONH2 undergoes Hofmann bromamide reaction.,CH3CONH2 + Br2 + NaOH → CH3NH2 + CO2,Acetamide loses one carbon forming methylamine due to Hofmann rearrangement.
Hydrocarbons,Alkyne Formation,Explain why geminal dihalides form alkynes.,RCH2–CX2R → RC≡CR,Successive elimination from same carbon eventually forms carbon-carbon triple bond.
Biomolecules,Vitamins,Which vitamin acts as CO2 carrier?,substrate + CO2 → product,Biotin (vitamin B7) acts as CO₂ carrier in carboxylation reactions.
Hydrocarbons,Alkyne Reactions,What happens when ethyne reacts with sodium metal?,HC≡CH + Na → HC≡CNa + H2,Ethyne reacts with sodium forming sodium acetylide and hydrogen gas.
Thermodynamics,First Law,What is isochoric process?,constant volume process,Volume remains constant during process.
States of Matter,Gas Properties,Why does gas pressure become zero at absolute zero?,no molecular motion,At 0 K ideal molecules theoretically stop moving.
Alcohols Phenols Ethers,Alcohol Formation,Why must Grignard reactions be carried out in dry conditions?,R–MgX + H2O → RH + Mg(OH)X,"Grignard reagents react violently with water, getting destroyed before reacting with carbonyl compounds. Therefore, dry ether conditions are necessary to prevent side reactions."
Aldehydes and Ketones,Aldehyde Tests,Explain energy profile of oxidation in aldehyde tests.,RCHO + [O] → RCOOH,"Oxidation of aldehydes is energetically favorable due to formation of stable carboxylic acid, making these tests proceed easily."
Physical Chemistry,Gas Stoichiometry,Calculate gas volume occupied by 0.5 mole gas at STP.,V = n × 22.4,Volume = 11.2 L.
Physical Chemistry,Composition,Calculate percentage composition of Na in NaCl.,23/58.5 ×100,Percentage of sodium in sodium chloride is 39.32%.
Physical Chemistry,Measurements,Explain propagation of errors in addition.,ΔZ = ΔA + ΔB,Absolute errors add during addition or subtraction.
Biomolecules,Proteins,What is polypeptide?,n amino acids → polypeptide,Long chain of amino acids linked by peptide bonds is called polypeptide.
Thermodynamics,Work,Why does expansion decrease internal energy?,system performs work,Energy leaves system during expansion.
States of Matter,Gas Laws,What is Gay-Lussac’s law?,P ∝ T at constant V,Pressure is directly proportional to temperature at constant volume.
Alcohols Phenols Ethers,Ether Formation,Why is acid required in dehydration method?,2ROH → R–O–R + H2O,"Acid protonates –OH group making it a better leaving group, facilitating ether formation."
Biomolecules,Nucleic Acids,What is a nucleoside?,base + sugar → nucleoside,Nucleoside is formed when nitrogenous base is attached to pentose sugar without phosphate group.
